what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422719742619
java.specification.version,sysinfo,,,"1.6",1422719742619
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1422719742619
java.version,sysinfo,,,"1.6.0_23",1422719742619
java.vm.info,sysinfo,,,"mixed mode",1422719742619
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1422719742619
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422719742619
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1422719742619
java.vm.specification.version,sysinfo,,,"1.0",1422719742619
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1422719742619
java.vm.version,sysinfo,,,"19.0-b09",1422719742619
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1422719743672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422719743873
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1422719744713
